Abbreviation	Format	Prefered	Keyword	Type	Comment	Reference	Length	Rank_gross	Rank_detail	Region	Web link	Concatenated	Separable
K	UPPER	-10	1000	Measurement		UC Berkeley	1	1	3	United States of America			
C	UPPER	-10	 Celsius (degrees)	Measurement		UC Berkeley	1	1	3	United States of America			
Abv	MiXeD	0	Above			USGS	3	1	2	United States of America			
Abut	MiXeD	0	Abutment			USGS	4	1	2	United States of America			
Acad	MiXeD	0	Academy			USGS	4	1	2	United States of America			
Adj	MiXeD	0	Adjacent			Ordnance Survey (UK)	3	10	10	United Kingdom			
Adm	MiXeD	0	Administration			USGS	3	1	2	United States of America			
Admin Co	MiXeD	0	Administrative County	Region		Ordnance Survey (UK)	8	10	10	United Kingdom			
Ad Co	MiXeD	0	Administrative County	Region		Ordnance Survey (UK)	5	10	10	United Kingdom			
Adm	MiXeD	0	Admiral	Title		UC Berkeley	3	1	3	United States of America			
Adm	MiXeD	0	Admiralty	Office		UC Berkeley	3	1	3	United States of America			
Aero	MiXeD	0	Aeronautical			USGS	4	1	2	United States of America			
Agcy	MiXeD	0	Agency			USGS	4	1	2	United States of America			
Agr	MiXeD	0	Agriculture	Landcover		USGS	3	1	2	United States of America			
Ag	MiXeD	100	Agriculture	Landcover		Benchmark	2	1	1	United States of America			
AB	UPPER	0	Air base	Cultural		UC Berkeley	2	1	3	United States of America	http://www.lib.berkeley.edu/EART/abbreviations_A-K		
AFB	UPPER	0	Air Force Base			USGS	3	1	2	United States of America			
A.F.B.	Exact	0	Air Force Base	Feature		Nat'l Geo. N. Amer. Atlas	6	1	1	United States of America			
AFS	UPPER	0	Air Force station	Cultural		UC Berkeley	3	1	3	United States of America			
A/C	UPPER	0	Aircraft	Cultural		UC Berkeley	3	1	3	United States of America			
Afld	MiXeD	0	Airfield	Transport		USGS	4	1	2	United States of America			
Aprt	MiXeD	0	Airport	Transport		USGS	4	1	2	United States of America			
Awy	MiXeD	0	Airway	Transport		USGS	3	1	2	United States of America			
Ala	MiXeD	0	Alabama	Admin-1		UC Berkeley	3	1	3	United States of America			
AL	UPPER	0	Alabama	Admin-1		UC Berkeley	2	1	3	United States of America			
AK	UPPER	0	Alaska	Admin-1		UC Berkeley	2	1	3	United States of America			
Alas	MiXeD	0	Alaska	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1	United States of America			
ANV	UPPER	0	Alaska Native village	Region		UC Berkeley	3	1	3	United States of America			
ANVSA	UPPER	0	Alaska Native village statistical area	Region		UC Berkeley	5	1	3	United States of America			
Alta	MiXeD	0	Alberta	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1	Canada			
Alk	MiXeD	0	Alkali	Landform		USGS	3	1	2	United States of America			
ATV	UPPER	100	All Terrain Vehicle	Transport		Benchmark	3	1	1	United States of America			
A	UPPER	-10	Alley	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom	http://www.ordnancesurvey.co.uk/oswebsite/aboutus/reports/misc/abbreviations.html		
AL	UPPER	0	Alley	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Alluv	MiXeD	0	Alluvial	Landform		USGS	5	1	2	United States of America			
Alt	MiXeD	0	Alternate	Transport		USGS	3	1	2	United States of America			
Alt	MiXeD	0	Altitude	Measurement		UC Berkeley	3	1	3	United States of America			
Amb Sta	MiXeD	0	Ambulance Station	Point of interest		UC Berkeley	7	1	3	United States of America			
Anch	MiXeD	0	Anchorage	City		USGS	4	1	2	United States of America			
Anc	MiXeD	0	Ancient	Time		USGS	3	1	2	United States of America			
&	lower	-10	And			USGS	1	1	2	United States of America			
Ant	MiXeD	0	Antenna			USGS	3	1	2	United States of America			
Ant	MiXeD	0	Antennae			USGS	3	1	2	United States of America			
A	UPPER	-10	Approach			Ordnance Survey (UK)	1	10	10	United Kingdom			
APP	UPPER	0	Approach			UC Berkeley	3	1	3	United States of America			
AP	UPPER	0	Approach			UC Berkeley	2	1	3	United States of America			
Approx	MiXeD	0	Approximate	Measurement		USGS	6	1	2	United States of America			
Approx	MiXeD	0	Approximately	Measurement		USGS	6	1	2	United States of America			
Apr	MiXeD	0	April	Dates		USGS	3	1	2	United States of America			
Aquar	MiXeD	0	Aquarium	Point of interest		USGS	5	1	2	United States of America			
Aque	MiXeD	0	Aqueduct	Hydrology		USGS	4	1	2	United States of America			
A	UPPER	-10	Arcade	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
ARC	UPPER	0	Arcade	Transport		UC Berkeley	3	1	3	United States of America			
AR	UPPER	0	Arcade	Transport		UC Berkeley	2	1	3	United States of America			
Arch	MiXeD	0	Archipelago	Landform		USGS	4	1	2	United States of America			
ANWR	UPPER	0	Arctic National Wildlife Refuge	Protected area		UC Berkeley	4	1	3	United States of America			
ACEC	UPPER	100	Area of Critical Environmental Concern	Protected area		Benchmark	4	1	1	United States of America			
AOI	UPPER	0	Area of Interest			UC Berkeley	3	1	3	United States of America			
AO	UPPER	0	Area of Operations			UC Berkeley	2	1	3	United States of America			
Ariz	MiXeD	0	Arizona	Admin-1		UC Berkeley	4	1	3	United States of America			
AZ	UPPER	0	Arizona	Admin-1		UC Berkeley	2	1	3	United States of America			
Ark	MiXeD	0	Arkansas	Admin-1		UC Berkeley	3	1	3	United States of America			
AR	UPPER	0	Arkansas	Admin-1		UC Berkeley	2	1	3	United States of America			
A	UPPER	-10	Arroyo	Hydrology		USGS	1	1	2	United States of America			
Artil	MiXeD	0	Artillery			UC Berkeley	5	1	3	United States of America			
Asph	MiXeD	0	Asphalt			USGS	4	1	2	United States of America			
Assn	MiXeD	0	Association			UC Berkeley	4	1	3	United States of America			
Ass	MiXeD	0	Association			UC Berkeley	3	1	3	United States of America			
Astr	MiXeD	0	Astronomical			USGS	4	1	2	United States of America			
Astr	MiXeD	0	Astronomy			USGS	4	1	2	United States of America			
Atl	MiXeD	0	Atlantic			USGS	3	1	2	United States of America			
Atl. Oc.	Exact	0	Atlantic Ocean	Hydrology		Nat'l Geo. N. Amer. Atlas	8	1	1	Oceans			
At	MiXeD	0	Atoll	Landform		USGS	2	1	2	United States of America			
Aug	MiXeD	0	August	Dates		USGS	3	1	2	United States of America			
Aux	MiXeD	0	Auxiliary			USGS	3	1	2	United States of America			
Aux Mer	MiXeD	0	Auxiliary Meridian			USGS	7	1	2	United States of America			
A	UPPER	-10	Avenue	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Ave	MiXeD	0	Avenue	Transport		UC Berkeley	3	1	3	United States of America			
Av	MiXeD	0	Avenue	Transport		UC Berkeley	2	1	3	United States of America			
Av	MiXeD	0	Average	Measurement		USGS	2	1	2	United States of America			
Avn	MiXeD	0	Aviation			USGS	3	1	2	United States of America			
Awsh	MiXeD	0	Awash			USGS	4	1	2	United States of America			
B	UPPER	0	Bahía	Hydrology		Nat'l Geo. N. Amer. Atlas	1	1	1				
Bhf	MiXeD	0	Bahnhof	Transport	Railway station	UC Berkeley	3	1	3	German			
B	UPPER	0	Baie	Hydrology		Nat'l Geo. N. Amer. Atlas	1	1	1				
BK H	UPPER	0	Bake House	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
B	UPPER	-10	Bank	Point of interest		UC Berkeley	1	1	3	United States of America			
Bk	MiXeD	0	Bank	Point of interest		UC Berkeley	2	1	3	United States of America			
Bapt	MiXeD	0	Baptist	Religion		UC Berkeley	4	1	3	United States of America			
Bar	MiXeD	0	Bar	Point of interest		USGS	3	1	2	United States of America			
BN	UPPER	0	Barn	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Bks	MiXeD	0	Barracks	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
B	UPPER	-10	Base			UC Berkeley	1	1	3	United States of America			
BL	UPPER	0	Basement Light			Ordnance Survey (UK)	2	10	10	United Kingdom			
B	UPPER	-10	Basin	Landform		UC Berkeley	1	1	3	United States of America			
BATT	UPPER	0	Battlement			UC Berkeley	4	1	3	United States of America			
B	UPPER	-10	Baulk			UC Berkeley	1	1	3	United States of America			
B	UPPER	-10	Bay	Hydrology		USGS	1	1	2	United States of America			
B	UPPER	-10	Bayou	Hydrology		USGS	1	1	2	United States of America			
BCH	UPPER	0	Beach	Physical feature		UC Berkeley	3	1	3	United States of America			
Bn	MiXeD	0	Beacon			USGS	2	1	2	United States of America			
Brg	MiXeD	0	Bearing			USGS	3	1	2	United States of America			
BH	UPPER	0	Beer House			UC Berkeley	2	1	3	United States of America			
BM	UPPER	0	Bench Mark			Ordnance Survey (UK)	2	10	10	United Kingdom			
BM	UPPER	0	Bench mark			UC Berkeley	2	1	3	United States of America			
Bgw	MiXeD	0	Bergwerk	German	 mine	UC Berkeley	3	1	3	German			
B/W	UPPER	0	Black and white			UC Berkeley	3	1	3	United States of America			
Blf	MiXeD	0	Bluff	Landform		USGS	3	1	2	United States of America			
B Hbr	MiXeD	0	Boat Harbor	Point of interest		USGS	5	1	2	United States of America			
Bog	MiXeD	0	Bog	Landform		USGS	3	1	2	United States of America			
B	UPPER	-10	Boiler			UC Berkeley	1	1	3	United States of America			
BOH	UPPER	0	Boiler House			Ordnance Survey (UK)	3	10	10	United Kingdom			
Bol	MiXeD	0	Bollard			Ordnance Survey (UK)	3	10	10	United Kingdom			
Boro	MiXeD	0	Borough	Region		Ordnance Survey (UK)	4	10	10	United Kingdom			
Boro Const	MiXeD	0	Borough Constituency			Ordnance Survey (UK)	10	10	10	United Kingdom			
Bot	MiXeD	0	Bottom	Landform		USGS	3	1	2	United States of America			
Bo	MiXeD	0	Boulders			Ordnance Survey (UK)	2	10	10	United Kingdom			
B	UPPER	-10	Boulevard	Transport		UC Berkeley	1	1	3	United States of America			
Blvd	MiXeD	0	Boulevard	Transport		UC Berkeley	4	1	3	United States of America			
BVD	UPPER	0	Boulevard	Transport		Ordnance Survey (UK)	3	10	10	United Kingdom			
Bl	MiXeD	0	Boulevard	Transport		UC Berkeley	2	1	3	United States of America			
BD	UPPER	0	Boulevard	Transport		UC Berkeley	2	1	3	United States of America			
Bdy	MiXeD	0	Boundary			UC Berkeley	3	1	3	United States of America			
B Mk	MiXeD	0	Boundary Mark			UC Berkeley	4	1	3	United States of America			
BP	UPPER	0	Boundary marker (USDMA)			UC Berkeley	2	1	3	United States of America			
BP	UPPER	0	Boundary Post or Plate			Ordnance Survey (UK)	2	10	10	United Kingdom			
BS	UPPER	0	Boundary Stone			Ordnance Survey (UK)	2	10	10	United Kingdom			
BSA	UPPER	100	Boy Scouts of America	Organization		Benchmark	3	1	1	United States of America			
Br P	MiXeD	0	Braced Post			Ordnance Survey (UK)	4	10	10	United Kingdom			
Brac/RG	MiXeD	0	Bracken	Landcover		Ordnance Survey (UK)	7	10	10	United Kingdom			
RG	UPPER	0	Bracken/rough grassland	Landcover		Ordnance Survey (UK)	2	10	10	United Kingdom			
Brd	MiXeD	0	Braided	Hydrology		USGS	3	1	2	United States of America			
Br	MiXeD	50	Branch	Hydrology		DeLorme	2	1	5	United States of America			
BR	UPPER	0	Brass Rivet			Ordnance Survey (UK)	2	10	10	United Kingdom			
Bkwr	MiXeD	0	Breakwater	Hydrology		USGS	4	1	2	United States of America			
br	lower	0	breit			UC Berkeley	2	1	3	United States of America			
Br	MiXeD	0	Breite			UC Berkeley	2	1	3	United States of America			
BR H	UPPER	0	Brew House			Ordnance Survey (UK)	4	10	10	United Kingdom			
VEN'D	UPPER	0	Brick veneered building			UC Berkeley	5	1	3	United States of America			
B	UPPER	-10	Bridge	Transport		UC Berkeley	1	1	3	United States of America			
BDG	UPPER	0	Bridge	Transport		UC Berkeley	3	1	3	United States of America			
BR	UPPER	0	Bridge	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Br	MiXeD	0	Bridge	Transport		USGS	2	1	2	United States of America			
BR	UPPER	0	Bridle Road	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
B.C.	Exact	0	British Columbia	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
B	UPPER	-10	Broad	Transport		UC Berkeley	1	1	3	United States of America			
B	UPPER	-10	Broadway	Transport		UC Berkeley	1	1	3	United States of America			
BDY	UPPER	0	Broadway	Transport		UC Berkeley	3	1	3	United States of America			
BY	UPPER	0	Broadway	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Bn	MiXeD	0	Broken			Ordnance Survey (UK)	2	10	10	United Kingdom			
Bk	MiXeD	0	Brook	Hydrology		USGS	2	1	2	United States of America			
B	UPPER	-10	Brow			UC Berkeley	1	1	3	United States of America			
BR	UPPER	0	Brow			Ordnance Survey (UK)	2	10	10	United Kingdom			
Brck	MiXeD	0	Brucke	German	bridge	UC Berkeley	4	1	3	German			
Battery	MiXeD	0	Bty			UC Berkeley	7	1	3	United States of America			
Bucks	MiXeD	0	Buckinghamshire			Ordnance Survey (UK)	5	10	10	United Kingdom			
Bs. As.	Exact	0	Buenos Aires	City		UC Berkeley	7	1	3	United States of America			
Bldg	MiXeD	0	Building	Built environment		USGS	4	1	2	United States of America			
Blg	MiXeD	0	Building	Built environment		Ordnance Survey (UK)	3	10	10	United Kingdom			
Bldgs	MiXeD	0	Buildings	Built environment		Ordnance Survey (UK)	5	10	10	United Kingdom			
Bu	MiXeD	0	Bureau			USGS	2	1	2	United States of America			
BIA	UPPER	0	Bureau of Indian Affairs	Organization		UC Berkeley	3	1	3	United States of America			
BLM	UPPER	0	Bureau of Land Management 	Organization		UC Berkeley	3	1	3	United States of America			
BOM	UPPER	0	Bureau of Mines	Organization		UC Berkeley	3	1	3	United States of America			
BM	UPPER	0	Bureau of Mines	Organization		UC Berkeley	2	1	3	United States of America			
BOR	UPPER	0	Bureau of Reclamation	Organization		UC Berkeley	3	1	3	United States of America			
BR	UPPER	0	Bureau of Reclamation	Organization		UC Berkeley	2	1	3	United States of America			
BOC	UPPER	0	Bureau of the Census	Organization		UC Berkeley	3	1	3	United States of America			
Burgh Const	MiXeD	0	Burgh Constituency			Ordnance Survey (UK)	11	10	10	United Kingdom			
Burial Gd	MiXeD	0	Burial Ground	Point of interest		Ordnance Survey (UK)	9	10	10	United Kingdom			
BG	UPPER	0	Burial Ground	Point of interest		UC Berkeley	2	1	3	United States of America			
BS	UPPER	0	Bus Stop	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
B-R	UPPER	0	Business Route	Transport		USGS	3	1	2	United States of America			
BUTE	UPPER	0	Butte	Landform		UC Berkeley	4	1	3	United States of America			
BUTT	UPPER	0	Buttress			Ordnance Survey (UK)	4	10	10	United Kingdom			
BY-PS	UPPER	0	By-pass	Transport		Ordnance Survey (UK)	5	10	10	United Kingdom			
B-P	UPPER	0	By-pass	Transport		UC Berkeley	3	1	3	United States of America			
Byp	MiXeD	0	Bypass	Transport		USGS	3	1	2	United States of America			
Cblwy	MiXeD	0	Cableway	Transport		USGS	5	1	2	United States of America			
C	UPPER	0	Cabo	Landform		Nat'l Geo. N. Amer. Atlas	1	1	1				
Calif	MiXeD	0	California	Admin-1		UC Berkeley	5	1	3	United States of America			
Cal	MiXeD	0	California	Admin-1		UC Berkeley	3	1	3	United States of America			
CA	UPPER	0	California	Admin-1		UC Berkeley	2	1	3	United States of America			
CDFG	UPPER	0	California Dept. of Fish and Game	Organization		UC Berkeley	4	1	3	California			
CDF	UPPER	0	California Dept. of Forestry	Organization		UC Berkeley	3	1	3	California			
CDF	UPPER	0	California Dept. of Forestry and Fire Protection	Organization		UC Berkeley	3	1	3	California			
CB	UPPER	0	Call Box	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Calv	MiXeD	0	Calvinist	Religion		Ordnance Survey (UK)	4	10	10	United Kingdom			
C	UPPER	-10	Cam			Ordnance Survey (UK)	1	10	10	United Kingdom			
Cpgrd	MiXeD	0	Campground	Recreation		USGS	5	1	2	United States of America			
CG	UPPER	100	Campground	Recreation		Benchmark	2	1	1	United States of America			
Can	MiXeD	0	Canada	Admin-0		Nat'l Geo. N. Amer. Atlas	3	1	1				
C	UPPER	-10	Canal	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Can	MiXeD	0	Canal	Hydrology		USGS	3	1	2	United States of America			
Cyn	MiXeD	100	Canyon	Landform		Benchmark	3	1	1	United States of America			
C	UPPER	0	Cap	Landform		Nat'l Geo. N. Amer. Atlas	1	1	1				
C	UPPER	-10	Cape	Landform		USGS	1	1	2	United States of America			
C	UPPER	0	Cape	Landform		Nat'l Geo. N. Amer. Atlas	1	1	1				
CYP	UPPER	0	Cape York Peninsula	Region		UC Berkeley	3	1	3	United States of America			
Cap	MiXeD	0	Capitol			USGS	3	1	2	United States of America			
Cn	MiXeD	0	Capstan			Ordnance Survey (UK)	2	10	10	United Kingdom			
Car Pk	MiXeD	0	Car Park	Built environment		Ordnance Survey (UK)	6	10	10	United Kingdom			
CL	UPPER	0	Carline			USGS	2	1	2	United States of America			
C	UPPER	-10	Carriage	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
CT H	UPPER	0	Cart House	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
CT S	UPPER	0	Cart Shed	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
CT	UPPER	0	Cart Track	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
C	UPPER	-10	Cartography			UC Berkeley	1	1	3	United States of America			
Cartog	MiXeD	0	Cartography			USGS	6	1	2	United States of America			
Cas	MiXeD	0	Castle	Point of interest		USGS	3	1	2	United States of America			
CATH	UPPER	0	Cathederal	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
Cathl	MiXeD	0	Cathedral	Point of interest		Ordnance Survey (UK)	5	10	10	United Kingdom			
Cath	MiXeD	0	Cathedral	Point of interest		USGS	4	1	2	United States of America			
CG	UPPER	0	Cattle Grid			Ordnance Survey (UK)	2	10	10	United Kingdom			
C	UPPER	-10	Causeway	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Cswy	MiXeD	0	Causeway	Transport		USGS	4	1	2	United States of America			
CW	UPPER	0	Causeway	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Cv	MiXeD	0	Cave	Landform		USGS	2	1	2	United States of America			
Cemy	MiXeD	0	Cemetery	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
Cem	MiXeD	0	Cemetery	Point of interest		UC Berkeley	3	1	3	United States of America			
Ctr	MiXeD	0	Center			USGS	3	1	2	United States of America			
cm	lower	0	Centimeter	Measurement		UC Berkeley	2	1	3	United States of America			
Cent	MiXeD	0	Central			USGS	4	1	2	United States of America			
Cen	MiXeD	0	Centre	Cultural	(Social, etc)	Ordnance Survey (UK)	3	10	10	United Kingdom			
Cr	MiXeD	0	Centre	Measurement	 [of stone marking trig pt]	Ordnance Survey (UK)	2	10	10	United Kingdom			
CD	UPPER	0	Centre Drain			Ordnance Survey (UK)	2	10	10	United Kingdom			
CDK	UPPER	0	Centre Drain at Kerb			Ordnance Survey (UK)	3	10	10	United Kingdom			
C	UPPER	-10	Centre of			Ordnance Survey (UK)	1	10	10	United Kingdom			
CB	UPPER	0	Centre of Bank			Ordnance Survey (UK)	2	10	10	United Kingdom			
CB	UPPER	0	Centre of Basin			Ordnance Survey (UK)	2	10	10	United Kingdom			
CB	UPPER	0	Centre of Baulk			Ordnance Survey (UK)	2	10	10	United Kingdom			
CB	UPPER	0	Centre of Broad			Ordnance Survey (UK)	2	10	10	United Kingdom			
CC	UPPER	0	Centre of Canal			Ordnance Survey (UK)	2	10	10	United Kingdom			
CCLW	UPPER	0	Centre of Channel at Low Water			Ordnance Survey (UK)	4	10	10	United Kingdom			
CCS	UPPER	0	Centre of Covered Stream			Ordnance Survey (UK)	3	10	10	United Kingdom			
CD	UPPER	0	Centre of Drain			Ordnance Survey (UK)	2	10	10	United Kingdom			
COCS	UPPER	0	Centre of old course of stream			Ordnance Survey (UK)	4	10	10	United Kingdom			
CR	UPPER	0	Centre of Railway			Ordnance Survey (UK)	2	10	10	United Kingdom			
CR	UPPER	0	Centre of River			Ordnance Survey (UK)	2	10	10	United Kingdom			
CR	UPPER	0	Centre of Road			Ordnance Survey (UK)	2	10	10	United Kingdom			
CS	UPPER	0	Centre of Stream			Ordnance Survey (UK)	2	10	10	United Kingdom			
CW	UPPER	0	Centre of Wall			Ordnance Survey (UK)	2	10	10	United Kingdom			
CP	UPPER	0	Centre Punched (Mark)			Ordnance Survey (UK)	2	10	10	United Kingdom			
Co	MiXeD	0	Cerro	Landform	Hill	Nat'l Geo. N. Amer. Atlas	2	1	1				
Cos	MiXeD	0	Cerros	Landform	Hills	Nat'l Geo. N. Amer. Atlas	3	1	1				
CP	UPPER	0	Cess Pool			Ordnance Survey (UK)	2	10	10	United Kingdom			
CS	UPPER	0	Cess Pool			Ordnance Survey (UK)	2	10	10	United Kingdom			
CM	UPPER	0	Chalk			Ordnance Survey (UK)	2	10	10	United Kingdom			
C	UPPER	-10	Channel	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
Chan	MiXeD	0	Channel	Hydrology		USGS	4	1	2	United States of America			
Chap	MiXeD	0	Chapel	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
Ch	MiXeD	0	Chapel	Point of interest		UC Berkeley	2	1	3	United States of America			
C	UPPER	-10	Chase	Landcover		Ordnance Survey (UK)	1	10	10	United Kingdom			
CHA	UPPER	0	Chase	Landcover		Ordnance Survey (UK)	3	10	10	United Kingdom			
CH	UPPER	0	Chase	Landcover		Ordnance Survey (UK)	2	10	10	United Kingdom			
Chem	MiXeD	0	Chemical			USGS	4	1	2	United States of America			
Chem	MiXeD	0	Chemically			USGS	4	1	2	United States of America			
Chem	MiXeD	0	Chemistry			USGS	4	1	2	United States of America			
Chy	MiXeD	0	Chimney			USGS	3	1	2	United States of America			
CC	UPPER	0	Chisel Cut (Mark)			Ordnance Survey (UK)	2	10	10	United Kingdom			
Chr Sc Ch	MiXeD	0	Christian Science Church	Religion		Ordnance Survey (UK)	9	10	10	United Kingdom			
Ch	MiXeD	0	Church	Point of interest		UC Berkeley	2	1	3	United States of America			
C in W	MiXeD	0	Church in Wales	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
Chr Sc Ch	MiXeD	0	Church of Christ Scientist	Point of interest		Ordnance Survey (UK)	9	10	10	United Kingdom			
C of E	MiXeD	0	Church of England	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
C of S	MiXeD	0	Church of Scotland	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
Ch Yd	MiXeD	0	Church Yard	Point of interest		Ordnance Survey (UK)	5	10	10	United Kingdom			
Cin	MiXeD	0	Cinema	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
ca	lower	0	Circa	Time		UC Berkeley	2	1	3	United States of America			
C	UPPER	-10	Circle	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
Cir	MiXeD	100	Circle	Transport		Benchmark	3	1	1	United States of America			
C	UPPER	-10	Circus	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
CIRC	UPPER	0	Circus	Transport		Ordnance Survey (UK)	4	10	10	United Kingdom			
Cis	MiXeD	0	Cistern			Ordnance Survey (UK)	3	10	10	United Kingdom			
CN	UPPER	0	Cistern			Ordnance Survey (UK)	2	10	10	United Kingdom			
Cd	MiXeD	0	Ciudad	Administration		Nat'l Geo. N. Amer. Atlas	2	1	1				
Civ	MiXeD	0	Civil			USGS	3	1	2	United States of America			
CP	UPPER	0	Civil Parish	Region		Ordnance Survey (UK)	2	10	10	United Kingdom			
Civ	MiXeD	0	Civilian			USGS	3	1	2	United States of America			
CCC	UPPER	100	Civilian Conservation Corps	Organization		Benchmark	3	1	1	United States of America			
Cl	MiXeD	0	Clearance			USGS	2	1	2	United States of America			
Clk	MiXeD	0	Clerk	Title		UC Berkeley	3	1	3	United States of America			
C	UPPER	-10	Cliff	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
Clf	MiXeD	0	Cliff	Landform		USGS	3	1	2	United States of America			
C	UPPER	-10	Close	Landcover		Ordnance Survey (UK)	1	10	10	United Kingdom			
Cl	MiXeD	0	Close	Landcover	[place]	Ordnance Survey (UK)	2	10	10	United Kingdom			
CLUB HO	UPPER	0	Club House	Point of interest		Ordnance Survey (UK)	7	10	10	United Kingdom			
CH	UPPER	0	Club House	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Co-ed	MiXeD	0	Co-educational	Point of interest		Ordnance Survey (UK)	5	10	10	United Kingdom			
Co-ord(s)	MiXeD	0	Co-ordinate(s)			Ordnance Survey (UK)	9	10	10	United Kingdom			
CH	UPPER	0	Coach House	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
CLB	UPPER	0	Coal Bin	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
CB	UPPER	0	Coal Bin	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
CB	UPPER	0	Coal Bunker	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
CC	UPPER	0	Coal Cover	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Cl H	MiXeD	0	Coal House	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
CH	UPPER	0	Coal House	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
C.G.	Exact	0	Coast Guard	Point of interest		UC Berkeley	4	1	3	United States of America			
CG	UPPER	0	Coast Guard	Organization		UC Berkeley	2	1	3	United States of America			
CGS	UPPER	0	Coast Guard Station	Point of interest		USGS	3	1	2	United States of America			
CG Lookout	MiXeD	0	Coastguard Lookout	Point of interest		Ordnance Survey (UK)	10	10	10	United Kingdom			
CG Sta	MiXeD	0	Coastguard Station	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
C	UPPER	-10	Cock			Ordnance Survey (UK)	1	10	10	United Kingdom			
Col	MiXeD	0	Collects			Ordnance Survey (UK)	3	10	10	United Kingdom			
Coll	MiXeD	0	College	Point of interest		Ordnance Survey (UK)	4	10	10	United Kingdom			
Colly	MiXeD	0	Colliery			Ordnance Survey (UK)	5	10	10	United Kingdom			
Col	MiXeD	0	Colony			USGS	3	1	2	United States of America			
Col	MiXeD	0	Colorado	Admin-1		UC Berkeley	3	1	3	United States of America			
CO	UPPER	0	Colorado	Admin-1		UC Berkeley	2	1	3	United States of America			
Colo	MiXeD	0	Colorado	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
Cmte	MiXeD	0	Comandante	Title		Nat'l Geo. N. Amer. Atlas	4	1	1				
Cml	MiXeD	0	Commercial			USGS	3	1	2	United States of America			
Comm Tr	MiXeD	0	Communication Tower			USGS	7	1	2	United States of America			
C	UPPER	-10	Community (Wales)	Region		Ordnance Survey (UK)	1	10	10	United Kingdom			
Comm Centre	MiXeD	0	Community Centre	Region		Ordnance Survey (UK)	11	10	10	United Kingdom			
c	lower	-10	Company			UC Berkeley	1	1	3	United States of America			
Co	MiXeD	0	Company			UC Berkeley	2	1	3	United States of America			
CPA	UPPER	0	Comparator Point (Air)			Ordnance Survey (UK)	3	10	10	United Kingdom			
CPG	UPPER	0	Comparator Point (Ground)			Ordnance Survey (UK)	3	10	10	United Kingdom			
Comps	MiXeD	0	Computations			Ordnance Survey (UK)	5	10	10	United Kingdom			
Conc	MiXeD	0	Concrete			USGS	4	1	2	United States of America			
C	UPPER	-10	Conduit			Ordnance Survey (UK)	1	10	10	United Kingdom			
CNFL	UPPER	0	Confluence	Hydrology		UC Berkeley	4	1	3	United States of America			
Congl	MiXeD	0	Congregational	Religion		Ordnance Survey (UK)	5	10	10	United Kingdom			
C	UPPER	-10	Coniferous	Landcover		Ordnance Survey (UK)	1	10	10	United Kingdom			
Conn	MiXeD	0	Connecticut	Admin-1		UC Berkeley	4	1	3	United States of America			
